q0_branch,q0_basis,q0,g_function,Q_target,incremental_cost_flops_per_token,D_B1_min_tokens,C_Q_at_D_B1_min_flops,D_B1_median_tokens,C_Q_at_D_B1_median_flops,D_B1_max_tokens,C_Q_at_D_B1_max_flops
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.49847810484764643,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.5,1825736.4520792365,134000000,244648684578617.7,146801000000,2.68019936901684e+17,299893000000,5.4752558182339846e+17
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.55,72096756.42678148,134000000,9660965361188718.0,146801000000,1.0583875940207948e+19,299893000000,2.162131257509678e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.6,166952711.6569823,134000000,2.2371663362035628e+16,146801000000,2.450882502395666e+19,299893000000,5.0067949556947395e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.65,294994858.27550447,134000000,3.95293110089176e+16,146801000000,4.330554018970233e+19,299893000000,8.846689303281587e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.7,467833677.62945354,134000000,6.2689712802346776e+16,146801000000,6.867845170968141e+19,299893000000,1.403000450853297e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.75,701141680.2254207,134000000,9.395298515020637e+16,146801000000,1.0292829979877199e+20,299893000000,2.102674819078421e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.8,1016074542.4075524,134000000,1.3615398868261202e+17,146801000000,1.491607588999711e+20,299893000000,3.047136427462281e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.85,1441189440.2192197,134000000,1.9311938498937542e+17,146801000000,2.1156805101362168e+20,299893000000,4.322026247956624e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.9,2015034529.262074,134000000,2.7001462692111792e+17,146801000000,2.9580908393020175e+20,299893000000,6.042947500839912e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,0.95,2789644376.8908024,134000000,3.738123465033675e+17,146801000000,4.095225841719467e+20,299893000000,8.365948211189134e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,exponential,1.0,3835258302.1475534,134000000,5.1392461248777216e+17,146801000000,5.6301975401356296e+20,299893000000,1.1501671180059362e+21
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.49847810484764643,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.5,3787401.8672508,134000000,507511850211607.2,146801000000,5.5599438151428474e+17,299893000000,1.1358153081754442e+18
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.55,148818651.86725092,134000000,1.9941699350211624e+16,146801000000,2.18467269127643e+19,299893000000,4.462967196442548e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.6,339287401.8672508,134000000,4.546451185021161e+16,146801000000,4.980772988151429e+19,299893000000,1.0174991680817545e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.65,583818651.8672509,134000000,7.823169935021162e+16,146801000000,8.57051619127643e+19,299893000000,1.750831269644255e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.7,891787401.8672506,134000000,1.1949951185021157e+17,146801000000,1.3091528238151424e+20,299893000000,2.6744079930817538e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.75,1273318651.867251,134000000,1.7062469935021162e+17,146801000000,1.869244514127643e+20,299893000000,3.818593504644255e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.8,1739287401.8672514,134000000,2.3306451185021168e+17,146801000000,2.5532912988151438e+20,299893000000,5.2160011680817565e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.85,2301318651.8672504,134000000,3.083766993502116e+17,146801000000,3.3783587941276425e+20,299893000000,6.901493544644253e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.9,2971787401.867251,134000000,3.9821951185021165e+17,146801000000,4.362613623815143e+20,299893000000,8.912182393081755e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,0.95,3763818651.8672504,134000000,5.043516993502116e+17,146801000000,5.525323419127642e+20,299893000000,1.1287428669644253e+21
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,power4,1.0,4691287401.86725,134000000,6.286325118502116e+17,146801000000,6.886856818815142e+20,299893000000,1.4068842528081754e+21
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.49847810484764643,0.0,134000000,0.0,146801000000,0.0,299893000000,0.0
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.5,5079428.532687187,134000000,680643423380083.1,146801000000,7.456651880270117e+17,299893000000,1.5232850609531587e+18
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.55,165164843.8797598,134000000,2.2132089079887812e+16,146801000000,2.4246364246392615e+19,299893000000,4.95317805256328e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.6,313380788.1872039,134000000,4.199302561708532e+16,146801000000,4.600461308666972e+19,299893000000,9.398070471182513e+19
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.65,451366531.1611066,134000000,6.048311517558828e+16,146801000000,6.626105814098161e+19,299893000000,1.3536166312949773e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.7,580443573.4362488,134000000,7.777943884045734e+16,146801000000,8.520969702401476e+19,299893000000,1.7407096456851695e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.75,701692817.0691185,134000000,9.402683748726187e+16,146801000000,1.0300920723856366e+20,299893000000,2.1043276398930916e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.8,816009644.7490168,134000000,1.0934529239636824e+17,146801000000,1.1979103185880041e+20,299893000000,2.447155803927169e+20
q_huber_point,frozen operational Q1 main interface,0.49847810484764643,logarithmic,0.85,924144087.289568,134000000,1.2383530769680211e+17,146801000000,1.3566527615819586e+20,299893000000,2.771443427695304e+20
