q_response_source,quality_cost_function,pair_id,transition_type,left_budget_flops,left_context_tokens,right_budget_flops,right_context_tokens,left_status,right_status,edge_status,left_N_B,right_N_B,delta_N_B,left_D_B,right_D_B,delta_D_B,left_Q,right_Q,delta_Q,left_loss,right_loss,delta_loss,N_changed,D_changed,Q_changed
B6_semi_synthetic,exponential,adjacent_budget_01,adjacent_budget,10000000000000000000,2048,10000000000000000000000,2048,FEASIBLE,FEASIBLE,comparable,0.070542,6.86104,6.790498,20.972,209.715,188.743,0.5179608190718128,0.9946254783516365,0.4766646592798237,3.083222955371085,2.0869472024597573,-0.9962757529113277,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_02,adjacent_budget,10000000000000000000000,2048,1000000000000000000000000,2048,FEASIBLE,FEASIBLE,comparable,6.86104,11.965825,5.104785000000001,209.715,299.893,90.17799999999997,0.9946254783516365,1.0,0.005374521648363495,2.0869472024597573,2.0345498945089004,-0.05239730795085684,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_03,adjacent_budget,10000000000000000000,4096,10000000000000000000000,4096,FEASIBLE,FEASIBLE,comparable,0.070542,6.86104,6.790498,18.874,197.132,178.258,0.5350189390013637,1.0,0.46498106099863634,3.0922118410204904,2.090224698907628,-1.0019871421128625,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_04,adjacent_budget,10000000000000000000000,4096,1000000000000000000000000,4096,FEASIBLE,FEASIBLE,comparable,6.86104,11.965825,5.104785000000001,197.132,299.893,102.76099999999997,1.0,1.0,0.0,2.090224698907628,2.0345498945089004,-0.05567480439872741,True,True,False
B6_semi_synthetic,exponential,adjacent_budget_05,adjacent_budget,10000000000000000000,8192,10000000000000000000000,8192,FEASIBLE,FEASIBLE,comparable,0.070542,6.86104,6.790498,16.777,178.258,161.481,0.5405984739697451,0.9939352770128121,0.453336803043067,3.107815513992928,2.0969293249450454,-1.0108861890478829,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_06,adjacent_budget,10000000000000000000000,8192,1000000000000000000000000,8192,FEASIBLE,FEASIBLE,comparable,6.86104,11.965825,5.104785000000001,178.258,299.893,121.63499999999996,0.9939352770128121,1.0,0.006064722987187854,2.0969293249450454,2.0345498945089004,-0.06237943043614491,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_07,adjacent_budget,10000000000000000000,32768,10000000000000000000000,32768,FEASIBLE,FEASIBLE,comparable,0.070542,6.86104,6.790498,10.486,111.149,100.663,0.5475226047577695,1.0,0.4524773952422305,3.1815543698697883,2.1278854527869004,-1.053668917082888,True,True,True
B6_semi_synthetic,exponential,adjacent_budget_08,adjacent_budget,10000000000000000000000,32768,1000000000000000000000000,32768,FEASIBLE,FEASIBLE,comparable,6.86104,11.965825,5.104785000000001,111.149,299.893,188.74399999999997,1.0,1.0,0.0,2.1278854527869004,2.0345498945089004,-0.093335558278,True,True,False
B6_semi_synthetic,exponential,adjacent_budget_09,adjacent_budget,10000000000000000000,131072,10000000000000000000000,131072,INFEASIBLE,FEASIBLE,feasibility_boundary,,2.782831,,,106.955,,,1.0,,,2.196673837495215,,False,False,False
B6_semi_synthetic,exponential,adjacent_budget_10,adjacent_budget,10000000000000000000000,131072,1000000000000000000000000,131072,FEASIBLE,FEASIBLE,comparable,2.782831,11.965825,9.182994,106.955,299.893,192.938,1.0,1.0,0.0,2.196673837495215,2.0345498945089004,-0.1621239429863146,True,True,False
B6_semi_synthetic,exponential,adjacent_context_11,adjacent_context,10000000000000000000,2048,10000000000000000000,4096,FEASIBLE,FEASIBLE,comparable,0.070542,0.070542,0.0,20.972,18.874,-2.0980000000000025,0.5179608190718128,0.5350189390013637,0.017058119929550863,3.083222955371085,3.0922118410204904,0.008988885649405365,False,True,True
B6_semi_synthetic,exponential,adjacent_context_12,adjacent_context,10000000000000000000,4096,10000000000000000000,8192,FEASIBLE,FEASIBLE,comparable,0.070542,0.070542,0.0,18.874,16.777,-2.0969999999999978,0.5350189390013637,0.5405984739697451,0.005579534968381483,3.0922118410204904,3.107815513992928,0.01560367297243781,False,True,True
B6_semi_synthetic,exponential,adjacent_context_13,adjacent_context,10000000000000000000,8192,10000000000000000000,32768,FEASIBLE,FEASIBLE,comparable,0.070542,0.070542,0.0,16.777,10.486,-6.291,0.5405984739697451,0.5475226047577695,0.006924130788024341,3.107815513992928,3.1815543698697883,0.07373885587686013,False,True,True
B6_semi_synthetic,exponential,adjacent_context_14,adjacent_context,10000000000000000000,32768,10000000000000000000,131072,FEASIBLE,INFEASIBLE,feasibility_boundary,0.070542,,,10.486,,,0.5475226047577695,,,3.1815543698697883,,,False,False,False
B6_semi_synthetic,exponential,adjacent_context_15,adjacent_context,10000000000000000000000,2048,10000000000000000000000,4096,FEASIBLE,FEASIBLE,comparable,6.86104,6.86104,0.0,209.715,197.132,-12.582999999999998,0.9946254783516365,1.0,0.005374521648363495,2.0869472024597573,2.090224698907628,0.003277496447870565,False,True,True
B6_semi_synthetic,exponential,adjacent_context_16,adjacent_context,10000000000000000000000,4096,10000000000000000000000,8192,FEASIBLE,FEASIBLE,comparable,6.86104,6.86104,0.0,197.132,178.258,-18.873999999999995,1.0,0.9939352770128121,-0.006064722987187854,2.090224698907628,2.0969293249450454,0.006704626037417505,False,True,True
B6_semi_synthetic,exponential,adjacent_context_17,adjacent_context,10000000000000000000000,8192,10000000000000000000000,32768,FEASIBLE,FEASIBLE,comparable,6.86104,6.86104,0.0,178.258,111.149,-67.10900000000001,0.9939352770128121,1.0,0.006064722987187854,2.0969293249450454,2.1278854527869004,0.030956127841855086,False,True,True
B6_semi_synthetic,exponential,adjacent_context_18,adjacent_context,10000000000000000000000,32768,10000000000000000000000,131072,FEASIBLE,FEASIBLE,comparable,6.86104,2.782831,-4.078209,111.149,106.955,-4.194000000000003,1.0,1.0,0.0,2.1278854527869004,2.196673837495215,0.06878838470831461,True,True,False
