grid_id,source_run_id,N_params_B,D_tokens_B,N_parameters_abs,D_tokens_abs,Q_setting,q0_reference,context_length_tokens,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,train_cost_share,quality_cost_share,attention_cost_share,cost_identity_pass
8,8,0.070542,0.134,70542000,134000000,Q=Q0,0.49847810484764643,2048,56715768000000000,0,3871796428800000,60587564428800000,0.9360958562156765,0.0,0.06390414378432352,True
8,8,0.070542,0.134,70542000,134000000,Q=Q0,0.49847810484764643,4096,56715768000000000,0,7743592857600000,64459360857600000,0.8798686062881277,0.0,0.12013139371187236,True
8,8,0.070542,0.134,70542000,134000000,Q=Q0,0.49847810484764643,8192,56715768000000000,0,15487185715200000,72202953715200000,0.7855048177628823,0.0,0.21449518223711772,True
8,8,0.070542,0.134,70542000,134000000,Q=Q0,0.49847810484764643,32768,56715768000000000,0,61948742860800000,118664510860800000,0.4779505480499618,0.0,0.5220494519500383,True
8,8,0.070542,0.134,70542000,134000000,Q=Q0,0.49847810484764643,131072,56715768000000000,0,247794971443200000,304510739443200000,0.18625211085725638,0.0,0.8137478891427437,True
9,9,0.070542,0.268,70542000,268000000,Q=Q0,0.49847810484764643,2048,113431536000000000,0,7743592857600000,121175128857600000,0.9360958562156765,0.0,0.06390414378432352,True
9,9,0.070542,0.268,70542000,268000000,Q=Q0,0.49847810484764643,4096,113431536000000000,0,15487185715200000,128918721715200000,0.8798686062881277,0.0,0.12013139371187236,True
9,9,0.070542,0.268,70542000,268000000,Q=Q0,0.49847810484764643,8192,113431536000000000,0,30974371430400000,144405907430400000,0.7855048177628823,0.0,0.21449518223711772,True
9,9,0.070542,0.268,70542000,268000000,Q=Q0,0.49847810484764643,32768,113431536000000000,0,123897485721600000,237329021721600000,0.4779505480499618,0.0,0.5220494519500383,True
9,9,0.070542,0.268,70542000,268000000,Q=Q0,0.49847810484764643,131072,113431536000000000,0,495589942886400000,609021478886400000,0.18625211085725638,0.0,0.8137478891427437,True
10,10,0.070542,0.537,70542000,537000000,Q=Q0,0.49847810484764643,2048,227286324000000000,0,15516079718400000,242802403718400000,0.9360958562156765,0.0,0.06390414378432352,True
10,10,0.070542,0.537,70542000,537000000,Q=Q0,0.49847810484764643,4096,227286324000000000,0,31032159436800000,258318483436800000,0.8798686062881277,0.0,0.12013139371187236,True
10,10,0.070542,0.537,70542000,537000000,Q=Q0,0.49847810484764643,8192,227286324000000000,0,62064318873600000,289350642873600000,0.7855048177628823,0.0,0.21449518223711772,True
10,10,0.070542,0.537,70542000,537000000,Q=Q0,0.49847810484764643,32768,227286324000000000,0,248257275494400000,475543599494400000,0.4779505480499618,0.0,0.5220494519500383,True
10,10,0.070542,0.537,70542000,537000000,Q=Q0,0.49847810484764643,131072,227286324000000000,0,993029101977600000,1220315425977600000,0.18625211085725638,0.0,0.8137478891427437,True
11,11,0.070542,1.074,70542000,1074000000,Q=Q0,0.49847810484764643,2048,454572648000000000,0,31032159436800000,485604807436800000,0.9360958562156765,0.0,0.06390414378432352,True
11,11,0.070542,1.074,70542000,1074000000,Q=Q0,0.49847810484764643,4096,454572648000000000,0,62064318873600000,516636966873600000,0.8798686062881277,0.0,0.12013139371187236,True
11,11,0.070542,1.074,70542000,1074000000,Q=Q0,0.49847810484764643,8192,454572648000000000,0,124128637747200000,578701285747200000,0.7855048177628823,0.0,0.21449518223711772,True
11,11,0.070542,1.074,70542000,1074000000,Q=Q0,0.49847810484764643,32768,454572648000000000,0,496514550988800000,951087198988800000,0.4779505480499618,0.0,0.5220494519500383,True
11,11,0.070542,1.074,70542000,1074000000,Q=Q0,0.49847810484764643,131072,454572648000000000,0,1986058203955200000,2440630851955200000,0.18625211085725638,0.0,0.8137478891427437,True
12,12,0.070542,2.097,70542000,2097000000,Q=Q0,0.49847810484764643,2048,887559444000000000,0,60590724710400000,948150168710400000,0.9360958562156765,0.0,0.06390414378432352,True
12,12,0.070542,2.097,70542000,2097000000,Q=Q0,0.49847810484764643,4096,887559444000000000,0,121181449420800000,1008740893420800000,0.8798686062881277,0.0,0.12013139371187236,True
12,12,0.070542,2.097,70542000,2097000000,Q=Q0,0.49847810484764643,8192,887559444000000000,0,242362898841600000,1129922342841600000,0.7855048177628823,0.0,0.21449518223711772,True
12,12,0.070542,2.097,70542000,2097000000,Q=Q0,0.49847810484764643,32768,887559444000000000,0,969451595366400000,1857011039366400000,0.4779505480499618,0.0,0.5220494519500383,True
