observation_id,model_name_raw,model_dir,family,task_key,task_version,metric_key,metric_name,score_raw,task_percentile_0_100,stderr_value_numeric,n_effective,higher_is_better,latest_status,version_unresolved
8ecac283f77e25a569073c793b0514a5983933fde2e1ebe332520b40ea8ade5d,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_boolean_expressions,0.0,"acc_norm,none",acc_norm,0.728,23.391973611874654,0.02820008829631,250.0,true,latest_parseable,True
d52fbc86de6f9ffe5180bd55d1c1f46e068167962d7f25b66277dd70a3d59df5,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_causal_judgement,0.0,"acc_norm,none",acc_norm,0.5775401069518716,42.08356239692139,0.036218240207533565,187.0,true,latest_parseable,True
f11c06a69f6391d6ac6fb71c5f81a114c9f09ead99769bc0829ee7d0dee88445,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_date_understanding,0.0,"acc_norm,none",acc_norm,0.216,10.252886201209456,0.026078657663732716,250.0,true,latest_parseable,True
46c10e1d4bd0ec7ce2a0169ee0bd7891ce66b34503b63ee669bc59787ed5e794,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_disambiguation_qa,0.0,"acc_norm,none",acc_norm,0.368,22.814733369983507,0.030562070620993163,250.0,true,latest_parseable,True
60d744364bd690e44ca1fcc03c0add09effb5b404e42e1b6c17ca9ec29ba94eb,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_formal_fallacies,0.0,"acc_norm,none",acc_norm,0.488,22.23749312809236,0.03167708558254708,250.0,true,latest_parseable,True
39aaf99f90c51906677cbc697579054e55769953fca5c01c6fa6f69cfc3de1fe,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_geometric_shapes,0.0,"acc_norm,none",acc_norm,0.316,39.63716327652556,0.029462657598578676,250.0,true,latest_parseable,True
a6eb36e0d90356ab97a1e4c4b0c68b0b561c945c20f0d7fa67962e53e323b497,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_hyperbaton,0.0,"acc_norm,none",acc_norm,0.492,7.806487080813635,0.031682156431413803,250.0,true,latest_parseable,True
511514d33889a18d464f7501fcf57a884f82f40d7954235488bdc594f90fb19b,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_logical_deduction_five_objects,0.0,"acc_norm,none",acc_norm,0.224,21.55030236393623,0.026421361687347905,250.0,true,latest_parseable,True
975575126637bad8566ba5babadcc5d24316893c5adf4c7beaf7658f3834d4d7,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_logical_deduction_seven_objects,0.0,"acc_norm,none",acc_norm,0.184,24.40901594282573,0.02455581299422256,250.0,true,latest_parseable,True
d9fd157371c4b90bdc24055babaf28b4cba173c00cd15ad8a6980b1d5d1f514b,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_logical_deduction_three_objects,0.0,"acc_norm,none",acc_norm,0.4,26.965365585486534,0.03104602102825324,250.0,true,latest_parseable,True
8f1450c585915f25fda10f7c20f9c33101e63ce9dcfee1475a83d2274e49caf4,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_movie_recommendation,0.0,"acc_norm,none",acc_norm,0.556,37.82297965915338,0.03148684942554574,250.0,true,latest_parseable,True
2ae1a54f6e6d0e29f3a2b03804302241a39f7bc98079371524666d0bef73927e,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_navigate,0.0,"acc_norm,none",acc_norm,0.492,20.863111599780098,0.031682156431413803,250.0,true,latest_parseable,True
5c5b398cec26ce61a32bcab9e6e1064240e27360d98be3bce814aa1203b28332,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_object_counting,0.0,"acc_norm,none",acc_norm,0.272,24.986256184716876,0.02820008829631001,250.0,true,latest_parseable,True
d55c15aa11d11340382f9db0a496b83c09144c9900d81a1ca0fdf2b613d6c420,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_penguins_in_a_table,0.0,"acc_norm,none",acc_norm,0.2191780821917808,7.916437603078615,0.034355047862649264,146.0,true,latest_parseable,True
695767383dc8c89e8a9615bb49057bb533b63cf6477dbf08cb4fa523554bda5e,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_reasoning_about_colored_objects,0.0,"acc_norm,none",acc_norm,0.356,32.160527762506874,0.030343680657153215,250.0,true,latest_parseable,True
f7a2af630f9daec98d79229e2f0217c27a183232891b0049ea5db2808a23546a,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_ruin_names,0.0,"acc_norm,none",acc_norm,0.156,9.620670698185817,0.022995023034068727,250.0,true,latest_parseable,True
dfaa8963dbd7a0f962326b22c9518c948ef4dcc5e524c634543e855307dc0795,0-hero/Matter-0.2-7B-DPO,0-hero_Matter-0.2-7B-DPO,BBH,leaderboard_bbh_salient_translation_error_detection,0.0,"acc_norm,none",acc_norm,0.208,19.26882902693788,0.025721398901416396,250.0,true,latest_parseable,True
