blind_id,sample_type,diagnostic_category,source_domain,raw_id,q_equal_tertile,q_equal,q_huber,conflict_intensity,high_conflict,source_content_sha256,review_text_sha256,char_count,text_file,selection_order
Q11-0495,representative,,arxiv,BkiUb0PxK6-gDz87OlKc,1,0.518210221944333,0.531173595635687,0.4414016692569552,False,1d38dcad88f5430f0fc0d5eb1278e775fe3bed2637181a98ef5315bc8413e540,1d38dcad88f5430f0fc0d5eb1278e775fe3bed2637181a98ef5315bc8413e540,25786,完整文本_30条/Q11-0495.txt,1
Q11-0267,representative,,arxiv,BkiUa4zxK1UJ-2RwUiGP,2,0.53558351064766,0.552897543993138,0.4258587762179844,False,ea819eb406ff1a0931440d8d65556c0685cff189defb2ebaae4b178f04491832,ea819eb406ff1a0931440d8d65556c0685cff189defb2ebaae4b178f04491832,20840,完整文本_30条/Q11-0267.txt,2
Q11-0213,representative,,arxiv,BkiUdOM5qX_BfHYHvlAX,3,0.569912432361163,0.623183548958631,0.4463374276286915,False,655ecc997d227aba504cd317cc65b8c09057d9ccdd579771efa110b51823b00b,655ecc997d227aba504cd317cc65b8c09057d9ccdd579771efa110b51823b00b,36970,完整文本_30条/Q11-0213.txt,3
Q11-0128,representative,,book,BkiUbV_xK7Ehm4qsy4mA,1,0.390676497854957,0.375787349837326,0.3868104302752284,False,74a18bdcfb55711616dbbf73820da10e57e276f2b9e49e9395717dfa03c0c9cb,74a18bdcfb55711616dbbf73820da10e57e276f2b9e49e9395717dfa03c0c9cb,957066,完整文本_30条/Q11-0128.txt,4
Q11-0270,representative,,book,BkiUdIs5qoTBAkU3UnMR,2,0.433626424999911,0.427694534227472,0.4194369198847824,False,a3e157ce221dfc3b97df8e982e25fc0de1321d18b7e545fa28f5364a1db7d122,a3e157ce221dfc3b97df8e982e25fc0de1321d18b7e545fa28f5364a1db7d122,607974,完整文本_30条/Q11-0270.txt,5
Q11-0550,representative,,book,BkiUdWs4dbgg5K7vcYv7,3,0.51844435229408,0.521964766942515,0.3595035874927384,False,e4cb6eae900f86ebb4a6bafac2e7ab3cc0e34d182d22e03e6bae6bda6e6e16a9,e4cb6eae900f86ebb4a6bafac2e7ab3cc0e34d182d22e03e6bae6bda6e6e16a9,22989,完整文本_30条/Q11-0550.txt,6
Q11-0697,representative,,c4,BkiUdEs4uzlhYyxW3gZk,1,0.440121500993968,0.410212770715711,0.434363207436047,True,1098b09eee43f619aa8bc06dfcfb09e8928af843b356684efb963a5e2a86f7ac,1098b09eee43f619aa8bc06dfcfb09e8928af843b356684efb963a5e2a86f7ac,248,完整文本_30条/Q11-0697.txt,7
Q11-0218,representative,,c4,BkiUdqc5qhDBdMC-FTBa,2,0.606902463163237,0.623437725039876,0.3036912456364556,False,0c3052718e013eed637875e3f3431e9b795b887c6fd110a8a0a780c3fc6d7785,5abea7bec187ccdd519c9c2de02af3dd8cc521d142f48bbcca5b85dde0066ce0,1308,完整文本_30条/Q11-0218.txt,8
Q11-0174,representative,,c4,BkiUe5HxK7ICUn2IaaLz,2,0.543037791098278,0.545326946020319,0.3044676084900162,False,1ffd64e3567b7b30c294701600fabc6eba7bb98d12ca793fcde5e9a9fdd1b900,27634e1bb0236c8735536d947622e1375825d517e067dd431dd0c47c5634ba73,3122,完整文本_30条/Q11-0174.txt,9
Q11-0733,representative,,c4,BkiUbGM4dbjiVD3oEgYq,3,0.630386927441497,0.639064067073372,0.2927759490037762,False,a7df6913df27bf578288f05ad8070ae1720b4b699455f24671a5e26fc942fb43,6f8d78dd6bc7fd0db3e0b1ea96b1f167c5b2a7703259baea3cb44f662ad13840,2371,完整文本_30条/Q11-0733.txt,10
Q11-0150,representative,,commoncrawl,BkiUd7w4uBhjAAuFm2yb,1,0.388922357426787,0.35825719703668,0.4058931778066748,True,1578b932e4ad8d5fc9f3ba69ad02dc50b62e8f53cf480179f291fc1084588ffa,eebe0fbe976e2d6330ff4728d9747d355972d2c6b2e07c548dafffc819efffd8,108211,完整文本_30条/Q11-0150.txt,11
Q11-0115,representative,,commoncrawl,BkiUe_M25V5jWH_DcaWC,1,0.406181836841757,0.387681543579818,0.3892870291550847,True,d16779f41e7689796df37156d7eb85db59a92bb0d46a0f2083f1bdf9c3b5f5a5,d16779f41e7689796df37156d7eb85db59a92bb0d46a0f2083f1bdf9c3b5f5a5,68845,完整文本_30条/Q11-0115.txt,12
Q11-0312,representative,,commoncrawl,BkiUdrE4eILhQJztnsOS,2,0.526525533575825,0.526400104541212,0.2292192389474919,False,989bd6c36c7f77d2727a48239cb0b3d68a9fe11050c7fa4d2c5470cc8c28a0e3,989bd6c36c7f77d2727a48239cb0b3d68a9fe11050c7fa4d2c5470cc8c28a0e3,3720,完整文本_30条/Q11-0312.txt,13
Q11-0694,representative,,commoncrawl,BkiUbmc4eIfiURL9RGpN,2,0.548311026367776,0.556931413020889,0.3611099866476488,False,c1f1b83b39c40e3bd7345501f652f78c7e71ea5a7eb660f4d4615716b8bb0c84,b769406746b91e8bd5188d7fc05d3f7eb44f5ba219102f20808b204b8087d7ba,9481,完整文本_30条/Q11-0694.txt,14
Q11-0576,representative,,commoncrawl,BkiUbR45qU2Ap07nSpc4,3,0.606356147341982,0.616800732563165,0.3580294208502318,False,1b177053a8f59ce78d1c8a54556d2b20905b2ef7d25d7e09c69197f1fa5bf3e1,ba917cd05ce96fc035450d6a5778fc555cae7b967674517b279f42274668fc83,9721,完整文本_30条/Q11-0576.txt,15
Q11-0145,representative,,github,BkiUf-PxK7kjXJwSTocz,1,0.359806729759997,0.31986143189105,0.403399149491553,False,82eff3d5dd0b4257c25934468c7f2a4001ed6af045189beededab36f5faa4135,82eff3d5dd0b4257c25934468c7f2a4001ed6af045189beededab36f5faa4135,48072,完整文本_30条/Q11-0145.txt,16
Q11-0738,representative,,github,BkiUau3xK7Ehm2ZQyfnw,2,0.415151113281619,0.41243848700964,0.2906765483552124,False,f8d0e620b94eb10460d4cfe1be6d2cf7154f400f0f0b8b89d57cfa1a3010cf56,f8d0e620b94eb10460d4cfe1be6d2cf7154f400f0f0b8b89d57cfa1a3010cf56,1535,完整文本_30条/Q11-0738.txt,17
Q11-0666,representative,,github,BkiUb13xK6wB9jjDe0NF,3,0.459081785617693,0.416299684554994,0.418912136073477,False,6bbc6c18ad36336acb42abdd7b7add56681ca96d6a3e82ba884b596539d27502,6bbc6c18ad36336acb42abdd7b7add56681ca96d6a3e82ba884b596539d27502,152,完整文本_30条/Q11-0666.txt,18
Q11-0583,representative,,stackexchange,BkiUdmg4eIXguxF2owZU,1,0.377768918055041,0.347203516416572,0.3540598206071705,False,e6b5d6465259d028f9e82155964d7006e62ef92a39f15d0d133ab3c173e15ab5,e6b5d6465259d028f9e82155964d7006e62ef92a39f15d0d133ab3c173e15ab5,15152,完整文本_30条/Q11-0583.txt,19
Q11-0066,representative,,stackexchange,BkiUcYjxK4tBVhat3Kg-,2,0.544274072034435,0.546582527486548,0.3370461881835035,False,e68bd9c83adfc69733cff21937788979abe589f19a5b1173632a23d7484dd013,e68bd9c83adfc69733cff21937788979abe589f19a5b1173632a23d7484dd013,7005,完整文本_30条/Q11-0066.txt,20
Q11-0299,representative,,stackexchange,BkiUd385qoTBG7-YOAlO,3,0.594799638209116,0.594659934203284,0.3037703579396258,False,331e57b2e49578ff0b9a0c380468c034b5cf9901409df0ea8991470c24dc0054,331e57b2e49578ff0b9a0c380468c034b5cf9901409df0ea8991470c24dc0054,2674,完整文本_30条/Q11-0299.txt,21
Q11-0302,representative,,wikipedia,BkiUdSXxK1ThhCdy8cl5,1,0.370705240480263,0.345911751894816,0.3366722337665921,False,5f6e00ecc47be7fe788d4aaaa1f92370f94f7d006c6e0244828f8a341ede44d4,5f6e00ecc47be7fe788d4aaaa1f92370f94f7d006c6e0244828f8a341ede44d4,562,完整文本_30条/Q11-0302.txt,22
Q11-0719,representative,,wikipedia,BkiUbrM4eIfiURL9RKsK,2,0.510983802781462,0.510431090713782,0.3984002951777579,False,09625541cf9b4d5fed579b55d72b598117164c8cb65007231764138bfe549d2f,033de3e02a95c9cb6a843ae683308d1bb6f370d9e8407242d1e1206bf1bae337,17607,完整文本_30条/Q11-0719.txt,23
Q11-0461,representative,,wikipedia,BkiUdaA5qdmB60zYsg9p,3,0.529217185067107,0.531467372503696,0.3739829940219619,False,50d01fd8b4495fef221feb605299c61e89b9ddffee59c9449b0f0df5f288c1de,50d01fd8b4495fef221feb605299c61e89b9ddffee59c9449b0f0df5f288c1de,372,完整文本_30条/Q11-0461.txt,24
Q11-0352,diagnostic,candidate_disagreement,book,BkiUbr_xK0iCl36cV-lb,3,0.510262630969585,0.567747950713096,0.4709132591103589,True,cf48b5a7fd240fe320903f0c17f4a20d345e0996f4f02af94e5eb39d7f0ab318,cf48b5a7fd240fe320903f0c17f4a20d345e0996f4f02af94e5eb39d7f0ab318,797761,完整文本_30条/Q11-0352.txt,25
Q11-0053,diagnostic,candidate_disagreement,arxiv,BkiUdYU25YjgKOpQ6oY3,2,0.527387215300004,0.59168240714993,0.4703956047726871,True,2c191fb87f4cedf63c05353f77d2cc734e7ae4e58c71efa436232a76a08342e9,2c191fb87f4cedf63c05353f77d2cc734e7ae4e58c71efa436232a76a08342e9,158271,完整文本_30条/Q11-0053.txt,26
Q11-0391,diagnostic,q1_2_high_conflict,arxiv,BkiUdq45qoYA2zk0vrSH,2,0.525124046779264,0.573887231683697,0.4739110823365193,True,040b7e65cf3cd98301eb4d1efde4e179fb9ee79f4023b90dc2b6206b91cb26f1,040b7e65cf3cd98301eb4d1efde4e179fb9ee79f4023b90dc2b6206b91cb26f1,93204,完整文本_30条/Q11-0391.txt,27
Q11-0176,diagnostic,q1_2_high_conflict,arxiv,BkiUdXLxK0wg0_74-yNM,2,0.528610125063513,0.568394299939788,0.4735257852294443,True,40dd3436f97b8b5049f51a43d2bd58ec643b75e0feabdb1d4bc582de6daa4ea5,40dd3436f97b8b5049f51a43d2bd58ec643b75e0feabdb1d4bc582de6daa4ea5,89225,完整文本_30条/Q11-0176.txt,28
Q11-0580,diagnostic,extreme_high_q,c4,BkiUfx05qhDCbXrR5ptv,3,0.745399245418481,0.755110490861901,0.2208609336776267,False,8738c9732eefb80b6faf8a099ff447ca8b47b5d4acd30c9807b08ab10a1620e3,519eeabbcd27a4d4bfe8a725ede42ea9161e9fd502a212f1243f0b1be5ce69f9,1736,完整文本_30条/Q11-0580.txt,29
Q11-0681,diagnostic,extreme_low_q,github,BkiUdpM5qWTBDpT5Q8iz,1,0.231063762146469,0.210556617175607,0.2749322639994717,False,af3fadf184468fe533cca6571550099f2588c33f8d0d9e169792adba18170a13,c0078623d0429e0775e7cce2dc8f8991e78c81262b8479c08732fe8e24248577,34756,完整文本_30条/Q11-0681.txt,30
