target,prediction_rank_bin,n,mean_predicted,mean_observed,mean_error_pred_minus_observed,mae,rmse,spearman_abs_error_vs_prediction
metric/the_pile_arxiv_val_loss,0,512,5.031735940722129,5.04406272014603,-0.012326779423900883,0.5740741976367878,0.7308933319417472,0.2883560928577151
metric/the_pile_arxiv_val_loss,1,103,3.8493025583183185,3.9567126718539636,-0.10741011353564522,0.3626972334767652,0.45536896827084744,-0.08947634318850767
metric/the_pile_arxiv_val_loss,2,103,4.831554423334537,4.672065352930606,0.15948907040393082,0.4678807761108285,0.5289604511477601,0.02106488599920924
metric/the_pile_arxiv_val_loss,3,102,5.2195145765768975,5.029704341701433,0.1898102348754642,0.5388880366529881,0.6652982234063096,-0.05108820419449141
metric/the_pile_arxiv_val_loss,4,102,5.476572967865554,5.542363610922122,-0.06579064305656646,0.7645423722563692,0.9429345119618768,0.05089595195955918
metric/the_pile_arxiv_val_loss,5,102,5.7952902255525105,6.033774950925042,-0.23848472537253176,0.7394760048407721,0.926183873437656,0.1142260999372353
metric/the_pile_freelaw_val_loss,0,512,5.276684002246959,5.28257419122383,-0.005890188976870522,0.43222304611357665,0.5006233435263886,0.05902768837046955
metric/the_pile_freelaw_val_loss,1,103,4.307605088055204,4.274876832962036,0.03272825509316808,0.41937574250246024,0.4956415746182858,0.09944866669595397
metric/the_pile_freelaw_val_loss,2,103,5.157593767167314,4.945738283175866,0.2118554839914466,0.4228934342296131,0.48482788034199525,-0.014914554320608004
metric/the_pile_freelaw_val_loss,3,102,5.414120852229798,5.395029110067031,0.019091742162769248,0.3999656455043625,0.47085676513248764,0.023449118184234185
metric/the_pile_freelaw_val_loss,4,102,5.6387889240851115,5.764052493899476,-0.12526356981436615,0.46909340561536067,0.5437340442248694,-0.017907730236187525
metric/the_pile_freelaw_val_loss,5,102,5.875979704690227,6.046355934704051,-0.17037623001382488,0.45000442345623476,0.5052212141160419,-0.2083957681890405
metric/the_pile_pubmed_central_val_loss,0,512,5.168640661550822,5.1759300655685365,-0.007289404017714097,0.5005648711308159,0.5889945283006858,0.15566518679690092
metric/the_pile_pubmed_central_val_loss,1,103,4.1469512444521595,4.178196941764609,-0.031245697312450155,0.37215241563014434,0.45831207029474624,-0.07648376751746255
metric/the_pile_pubmed_central_val_loss,2,103,5.021551179082705,4.916916800934134,0.10463437814857143,0.5286187703021269,0.6109606695376985,0.18505908711505514
metric/the_pile_pubmed_central_val_loss,3,102,5.314792838037825,5.150543133417766,0.16424970462005964,0.5103790820867437,0.5843513489690587,0.01062476321875477
metric/the_pile_pubmed_central_val_loss,4,102,5.525280848820519,5.6120016668357104,-0.08672081801519115,0.5590857766809788,0.6426166632663357,0.005400026010596491
metric/the_pile_pubmed_central_val_loss,5,102,5.846085814023323,6.034312827914369,-0.18822701389104593,0.5335722183690789,0.6308015517248147,-0.08308123787821386
metric/the_pile_wikipedia_en_val_loss,0,512,5.806085851565879,5.810897937975824,-0.004812086409944618,0.24843796293385975,0.30152050425283944,0.10524921035465376
metric/the_pile_wikipedia_en_val_loss,1,103,5.066333213278494,5.11488273768749,-0.048549524408997145,0.21854385391029665,0.26689500759193,-0.13290207793348854
metric/the_pile_wikipedia_en_val_loss,2,103,5.724856908429815,5.535284232167364,0.189572676262451,0.23487547318740082,0.28595425335055547,0.0015266001845099504
metric/the_pile_wikipedia_en_val_loss,3,102,5.957420263213817,5.898701803356993,0.05871845985682499,0.2515996299732924,0.2976797633629928,0.06668325313399415
metric/the_pile_wikipedia_en_val_loss,4,102,6.0816590336289895,6.164559471840952,-0.08290043821196431,0.2366536620507761,0.28821043090126663,-0.1790490299743852
metric/the_pile_wikipedia_en_val_loss,5,102,6.208208678311845,6.350587218415503,-0.1423785401036586,0.3009432406335134,0.36079691044335804,0.022827125659453436
metric/the_pile_dm_mathematics_val_loss,0,512,3.8856125719498076,3.8935756706632674,-0.007963098713459706,1.1134686495128312,1.2071686403526285,-0.0563646916949909
metric/the_pile_dm_mathematics_val_loss,1,103,2.369636442920166,2.120483389178526,0.24915305374164004,0.8977847366872935,1.0123918271387684,0.36523085709265035
metric/the_pile_dm_mathematics_val_loss,2,103,3.8616847129069702,3.4970438758146414,0.3646408370923289,1.3491642475653929,1.4065227514905012,0.06438079339278655
metric/the_pile_dm_mathematics_val_loss,3,102,4.190864723447382,4.074063684426102,0.11680103902128063,1.2096897972271172,1.3066961947011926,-0.07571910817580901
metric/the_pile_dm_mathematics_val_loss,4,102,4.409008229490797,4.668193443148744,-0.2591852136579466,1.1119099660419607,1.1981005870140262,-0.18438685673250363
metric/the_pile_dm_mathematics_val_loss,5,102,4.611965848906002,5.129364785026102,-0.5173989361201006,0.9985983070499697,1.067364648780625,-0.21511328745667258
metric/the_pile_github_val_loss,0,512,5.27685937867464,5.27951684454456,-0.0026574658699193843,0.5831760444849319,0.7176954248671109,0.26389979658049234
metric/the_pile_github_val_loss,1,103,3.9716478141061593,4.118967118772488,-0.14731930466632823,0.41048118261877137,0.4879251060040635,-0.3464174317972148
metric/the_pile_github_val_loss,2,103,5.032840679237275,4.718146615815394,0.31469406342187994,0.472719216797963,0.5556656724469501,0.16008434740587796
metric/the_pile_github_val_loss,3,102,5.511852291098503,5.43010334407582,0.08174894702268208,0.6519638189451834,0.7973179135087511,0.015340597452092439
metric/the_pile_github_val_loss,4,102,5.788855752711493,5.762528994504144,0.026326758207348314,0.6269467257316781,0.756094766069565,-0.04996861764988606
metric/the_pile_github_val_loss,5,102,6.0942888882198325,6.3847197177363375,-0.2904308295165065,0.7565452752874665,0.9088134159810322,0.25946700895103786
metric/the_pile_stackexchange_val_loss,0,512,5.241699388820117,5.245853285305202,-0.00415389648508506,0.42198904374944424,0.5252273664328717,0.280006880786441
metric/the_pile_stackexchange_val_loss,1,103,4.302014531588078,4.399923088481125,-0.09790855689304692,0.29393722417736656,0.38444896715783256,-0.06330448534903133
metric/the_pile_stackexchange_val_loss,2,103,5.080898877088901,4.84518390488856,0.23571497220034138,0.3502541635244807,0.41213056893825034,0.281937793788165
metric/the_pile_stackexchange_val_loss,3,102,5.404555037000102,5.251134591944077,0.15342044505602515,0.44126730507658385,0.5164325644710891,0.06987237844286999
metric/the_pile_stackexchange_val_loss,4,102,5.599764161286667,5.684616785423429,-0.0848526241367623,0.4306049162855809,0.5481099820626016,-0.11736998942612707
metric/the_pile_stackexchange_val_loss,5,102,5.832053409381572,6.060629620271571,-0.228576210889997,0.5958403028184742,0.7048645433708264,0.12460772062357578
metric/the_pile_gutenberg_pg_19_val_loss,0,512,5.443411802433544,5.445764048025012,-0.0023522455914682175,0.1923133910890281,0.24721049506742024,0.19540029797667685
metric/the_pile_gutenberg_pg_19_val_loss,1,103,4.856224536678809,4.921214663866654,-0.06499012718784529,0.14299754283439356,0.19097397572354785,-0.2514277555682467
metric/the_pile_gutenberg_pg_19_val_loss,2,103,5.325298265593552,5.23934928190361,0.0859489836899427,0.17052808341983794,0.21361137106806902,0.04633615955717612
metric/the_pile_gutenberg_pg_19_val_loss,3,102,5.522087583484251,5.411010213926727,0.11107736955752269,0.19287837958353127,0.23428466599642134,-0.007051133440014476
metric/the_pile_gutenberg_pg_19_val_loss,4,102,5.680716183355648,5.654718763688031,0.0259974196676153,0.19688141120158703,0.24871769128363708,-0.0031834708313778267
metric/the_pile_gutenberg_pg_19_val_loss,5,102,5.8396471568063895,6.00969363193886,-0.170046475132469,0.2589786085619066,0.3272733666953169,-0.060960921906011274
metric/the_pile_pile_cc_val_loss,0,512,5.726269447093825,5.727793703787029,-0.001524256693203158,0.12958891106757492,0.1592964296106802,0.0932562928439821
metric/the_pile_pile_cc_val_loss,1,103,5.271171040407575,5.30289349972623,-0.03172245931865633,0.11505958987439449,0.14079496289627316,-0.12685059087115055
