track,target,horizon_months,target_month,scenario,scaling_exponent,status,evidence_stage,point_forecast,simulation_q025,simulation_q975,annual_forecast_skill,simulation_band_coverage,fit_executed,loss_used,observed_month_bins,calendar_span_months,exact_horizon_origins,unique_bridge_pairs,verified_model_versions,loss_unit,reason
unconditional_direct_C1_score_trend,monthly_open_weight_C1_Average_P90_12m,12,2026-03,,,not_estimable_from_supplied_history,historical_feasibility,,,,NOT_ESTIMABLE_FROM_HISTORY,NOT_APPLICABLE,not_applicable_to_feasibility_snapshot,false,10,9,0,,,,C1 history and exact-horizon support are insufficient; this is independent of Loss bridge eligibility.
unconditional_direct_C1_score_trend,monthly_open_weight_C1_Average_P90_24m,24,2027-03,,,not_estimable_from_supplied_history,historical_feasibility,,,,NOT_ESTIMABLE_FROM_HISTORY,NOT_APPLICABLE,not_applicable_to_feasibility_snapshot,false,10,9,0,,,,C1 history and exact-horizon support are insufficient; this is independent of Loss bridge eligibility.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,历史速度延续,0.5,conditional_scenario_only,full_run,52.586457213337475,40.227182018698244,63.11182337240473,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,历史速度延续,0.73,conditional_scenario_only,full_run,53.94027469031477,41.909037377124875,64.2473485951229,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,历史速度延续,0.5,conditional_scenario_only,full_run,63.898401808049044,46.74788328375174,89.66546827356866,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,历史速度延续,0.73,conditional_scenario_only,full_run,66.60603676200364,50.07437426844586,91.79258945653544,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,中度放缓,0.5,conditional_scenario_only,full_run,51.114916477492585,38.882005017944735,62.65602603193797,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,中度放缓,0.73,conditional_scenario_only,full_run,51.791825215981234,39.75390730428257,63.235637263197525,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,中度放缓,0.5,conditional_scenario_only,full_run,60.95532033635927,43.38798397533783,86.3176728836819,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,中度放缓,0.73,conditional_scenario_only,full_run,62.30913781333657,45.09848480122381,87.43863472382326,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,强放缓,0.5,conditional_scenario_only,full_run,49.6433757416477,36.660235872895505,61.46924066247342,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_12m,12,2026-03,强放缓,0.73,conditional_scenario_only,full_run,49.6433757416477,36.660235872895505,61.46924066247342,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,强放缓,0.5,conditional_scenario_only,full_run,58.0122388646695,39.08167723329097,84.9264966453545,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
conditional_direct_C1_score_scenario,monthly_open_weight_C1_Average_P90_24m,24,2027-03,强放缓,0.73,conditional_scenario_only,full_run,58.0122388646695,39.08167723329097,84.9264966453545,NOT_VALIDATED,UNKNOWN,true,false,10,9,0,,,,Direct C1 Average scenario output; annual skill is unvalidated and band coverage is unknown.
loss_benchmark_bridge,validated_Loss_to_C1_Benchmark_mapping,,,,,BLOCKED_NO_FIT,prefit_gate,,,,NOT_APPLICABLE,NOT_APPLICABLE,false,true,,,,7,0,UNKNOWN,"Loss unit/evaluation split/tokenizer/preprocessing are UNKNOWN in Q2 protocol audit; exact historical model revision-to-score provenance is unavailable; Q2 candidate endpoints are same-family training records, not an approved future target schedule."
