blind_id,sample_type,diagnostic_category,dataset,source_domain,raw_id,sub_path,q_equal_tertile,broad_unicode_flag,q_equal,q_huber,high_conflict,conflict_intensity,a1_domain_threshold,sampling_seed,content_sha256,displayed_text_sha256,displayed_text_char_count,max_review_text_chars
Q11-0438,representative,,A1,arxiv,BkiUfNw25V5jPC6s0xZV,,2,0,0.53241031404983297,0.54132586477858702,false,0.34306713466759625,0.46603175151955184,20260925,8d600a8b03c32540e4ccbf360a9dda37198eb8e461ca04f4ceedeff6ee3eea18,8d600a8b03c32540e4ccbf360a9dda37198eb8e461ca04f4ceedeff6ee3eea18,431,8000
Q11-0721,representative,,A1,arxiv,BkiUfULxK7IAG1E_0zRa,,3,0,0.56521772761296596,0.58510467003739697,false,0.40285403572511902,0.46603175151955184,20260925,d04d8cb49f4abd4f8a97ee9e63c5c8c14b9ecfc9a5507bff8d91e96af310a6e9,d04d8cb49f4abd4f8a97ee9e63c5c8c14b9ecfc9a5507bff8d91e96af310a6e9,7882,8000
Q11-0590,representative,,A1,c4,BkiUdtC6NNjgB0Ss2iAT,,1,0,0.50989517067197399,0.50574988199378101,false,0.26759359747684025,0.41876347706957828,20260925,06d0aec60a74815a9fadaf5d2aa91e4595b4ff53cea204618a4c163086dd6142,06d0aec60a74815a9fadaf5d2aa91e4595b4ff53cea204618a4c163086dd6142,4434,8000
Q11-0111,representative,,A1,c4,BkiUdn45qYVBQos0Igab,,1,1,0.52549272883618903,0.52579046849706201,false,0.28350962407033686,0.41876347706957828,20260925,1a55105ecd805c38babd96050ecc4e8b4a4529e73887fe12f2f5ccdd42fdf2ae,869cdeff844bd3ac9e9ddec5da1e73b2a0e2cc1558ccd2338b7eba3537db185d,2977,8000
Q11-0565,representative,,A1,c4,BkiUdN04uBhi3S2lRrPE,,2,0,0.57724184606385098,0.596088007216514,false,0.32096472113241042,0.41876347706957828,20260925,4bb1966fc48f357553245f1e4155675efda67825b7bd95e98c3d7ff370108a08,4bb1966fc48f357553245f1e4155675efda67825b7bd95e98c3d7ff370108a08,1242,8000
Q11-0511,representative,,A1,c4,BkiUdUc5qhLA4YB2lxVH,,2,0,0.55116865198967102,0.59126932630912998,true,0.44888796163932998,0.41876347706957828,20260925,34960002341e9c22135ff8662cf5baf7f9692425154751efecb24873cf9a2ba5,34960002341e9c22135ff8662cf5baf7f9692425154751efecb24873cf9a2ba5,339,8000
Q11-0580,representative,,A1,c4,BkiUfx05qhDCbXrR5ptv,,3,1,0.74539924541848102,0.75511049086190096,false,0.22086093367762674,0.41876347706957828,20260925,8738c9732eefb80b6faf8a099ff447ca8b47b5d4acd30c9807b08ab10a1620e3,519eeabbcd27a4d4bfe8a725ede42ea9161e9fd502a212f1243f0b1be5ce69f9,1736,8000
Q11-0569,representative,,A1,c4,BkiUdLLxaKgT2YGEmtQJ,,3,1,0.650670307494019,0.65382012752730601,false,0.24017995728434238,0.41876347706957828,20260925,4e8fa9ee28771266b520f49bc7f55235fa73c12c8fa3940026995e46d8a0a31f,8d42d5982acd117d64d17f528753645d33fbc6759ce7b2037427572c99f9b72a,2746,8000
Q11-0548,representative,,A1,commoncrawl,BkiUdCs4dbgg-nPSr91X,,1,1,0.39043653074694401,0.38034340065636002,false,0.25968981534145974,0.3833701125765997,20260925,a79b82f6aa010d2bd18376d2d82612e665b4a042c5b5dc1872087a5435cd6e63,4fe0ea1504e85bf2241cd39e6c7428ef9c65704cc813a7c32875ea6aa33db79c,5639,8000
Q11-0407,representative,,A1,commoncrawl,BkiUdZ3xK3YB9m8SXQYW,,2,0,0.554721280721027,0.55296108495468999,false,0.30071888142252895,0.3833701125765997,20260925,04dbe35fe24cb753d8fca93f48e8841c0219f3b6b668f568affd61f76b6c67b9,04dbe35fe24cb753d8fca93f48e8841c0219f3b6b668f568affd61f76b6c67b9,5073,8000
Q11-0675,representative,,A1,commoncrawl,BkiUczw241xiETwG9mkS,,2,0,0.54665845560494197,0.55185056104660501,false,0.24932227938060114,0.3833701125765997,20260925,4080c01caa4b18f5032d0dbc71b2f7017acfa4e16dfdffe11f05d265ea4eda00,4080c01caa4b18f5032d0dbc71b2f7017acfa4e16dfdffe11f05d265ea4eda00,4741,8000
Q11-0624,representative,,A1,commoncrawl,BkiUfWHxK7FjYAb_9BpB,,3,0,0.68392900057843398,0.68552567731159697,false,0.27029644280482207,0.3833701125765997,20260925,bbcec8eb33f6de4c778877ed35bc7287766fd286d1da0763855af73f85ae6b3c,bbcec8eb33f6de4c778877ed35bc7287766fd286d1da0763855af73f85ae6b3c,2533,8000
Q11-0164,representative,,A1,commoncrawl,BkiUdGM25V5hdn6rQ5C-,,3,1,0.66717754158854803,0.67088569116838503,false,0.27266824064197182,0.3833701125765997,20260925,ba7c7c198c3e59435c9541811cdde70f885e4e50e87c678f5bc2be9057be5c45,9ae6e5703b3dd5107086918b6db1498b79a2b1a9edbaa7e32dfe5719460114f6,4677,8000
Q11-0792,representative,,A1,github,BkiUdYw5qsNCPictsbOK,,1,0,0.32682518883212602,0.30809984749181202,false,0.30229454709964959,0.42943199055474651,20260925,25f9d94244a17737624c3655ec28f16242153e4181ccf308d7c7f6f2ac5f1ecd,25f9d94244a17737624c3655ec28f16242153e4181ccf308d7c7f6f2ac5f1ecd,7442,8000
Q11-0353,representative,,A1,github,BkiUfgg5qhDC0kZMYBgk,,2,0,0.42700198652702898,0.399764128535265,false,0.39357259833107949,0.42943199055474651,20260925,613c81bd26d143dbd56720a14453e2f019afeafca32f0a4ae88cf8ff73e7ca5a,613c81bd26d143dbd56720a14453e2f019afeafca32f0a4ae88cf8ff73e7ca5a,329,8000
Q11-0529,representative,,A1,github,BkiUbDg5qsNCPdwheJxj,,3,0,0.44651141749104301,0.44495682644808998,false,0.3615477574696106,0.42943199055474651,20260925,26e2ff12e168e8ea0e769f3f43326e630f205982da43aea3671de028c859f002,26e2ff12e168e8ea0e769f3f43326e630f205982da43aea3671de028c859f002,647,8000
Q11-0250,representative,,A1,stackexchange,BkiUdn04dbghOwL14EuJ,,1,0,0.46741882396495599,0.46804914850260598,false,0.2666334379731235,0.35984724430626969,20260925,9425e23ba7d7c996af8d8879ef229a77aa6163e150dda389610297c1b665b739,9425e23ba7d7c996af8d8879ef229a77aa6163e150dda389610297c1b665b739,1579,8000
