forecast_origin,horizon_months,target_month,target_status_as_of_run,target_months_from_run_month,scenario,scenario_label_zh,scaling_exponent_alpha_N_proportional_C_alpha,is_primary_alpha_half,c4_annual_compute_growth_multiplier,compute_multiplier,parameter_multiplier_under_alpha,frontier_point_C1_Average_P90,parameter_anchor_only_q025,parameter_anchor_only_q975,parameter_anchor_only_band_width,parameter_anchor_band_outside_score_domain,conditional_simulation_q025,conditional_simulation_q975,conditional_simulation_band_width,future_shock_band_width_increment,point_outside_score_domain_0_100,simulation_band_outside_score_domain_0_100,simulation_band_method,simulation_band_coverage_calibrated,annual_horizon_rolling_origin_count,conditioned_on_type_mix_residual_distribution_and_protocol_stability,c4_is_individual_c1_compute_match
2025-03,12,2026-03,elapsed_before_run_month,-6,historical_rate,历史速度延续,0.5,True,2.5819507232049395,2.5819507232049395,1.6068449592928806,52.586457213337475,42.39666530684006,66.31811930667172,23.921453999831655,False,41.14989410347264,64.96830986029225,23.81841575681961,-0.103038243012044,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,elapsed_before_run_month,-6,historical_rate,历史速度延续,0.73,False,2.5819507232049395,2.5819507232049395,1.9985821446516663,53.94027469031477,44.10996248578408,67.3793568054376,23.269394319653514,False,42.7761799115311,66.1452047399872,23.36902482845609,0.0996305088025764,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,historical_rate,历史速度延续,0.5,True,2.5819507232049395,6.66646953705851,2.5819507232049395,63.898401808049044,48.87708896342171,91.29409505680216,42.41700609338045,False,46.24459064683781,91.2543025662671,45.00971191942929,2.5927058260488423,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,historical_rate,历史速度延续,0.73,False,2.5819507232049395,6.66646953705851,3.994330588920454,66.60603676200364,52.324499998504194,93.37116865226568,41.046668653761486,False,49.77582868179708,93.05393706830287,43.27810838650579,2.231439732744306,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,elapsed_before_run_month,-6,half_log_growth,中度放缓,0.5,True,1.6068449592928806,1.6068449592928806,1.2676138841511955,51.114916477492585,40.02929559249081,64.5134120573421,24.484116464851283,False,39.09193278870862,63.221166522561866,24.129233733853248,-0.35488273099803536,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,elapsed_before_run_month,-6,half_log_growth,中度放缓,0.73,False,1.6068449592928806,1.6068449592928806,1.4137121859316577,51.791825215981234,40.81012511658054,65.29642359260669,24.48629847602615,False,39.9089981640356,63.747686785090146,23.838688621054544,-0.6476098549716056,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,half_log_growth,中度放缓,0.5,True,1.6068449592928806,2.581950723204939,1.6068449592928806,60.95532033635927,45.8446046545478,89.63345794321086,43.788853288663056,False,42.583305907362345,90.9873874390077,48.40408153164536,4.615228242982305,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,half_log_growth,中度放缓,0.73,False,1.6068449592928806,2.581950723204939,1.998582144651666,62.30913781333657,47.586199116417134,90.79777946496523,43.2115803485481,False,44.45586303044303,91.99118658589254,47.53532355544951,4.323743206901412,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,elapsed_before_run_month,-6,flat_compute,强放缓,0.5,True,1.0,1.0,1.0,49.6433757416477,38.40536369924479,63.32607155188099,24.920707852636205,False,37.06312218981268,63.35121901778052,26.28809682796784,1.367388975331636,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,12,2026-03,elapsed_before_run_month,-6,flat_compute,强放缓,0.73,False,1.0,1.0,1.0,49.6433757416477,38.40536369924479,63.32607155188099,24.920707852636205,False,37.06312218981268,63.35121901778052,26.28809682796784,1.367388975331636,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,flat_compute,强放缓,0.5,True,1.0,1.0,1.0,58.0122388646695,42.00746800517076,88.17748761988486,46.1700196147141,False,38.71125027370519,89.17954446520368,50.46829419149849,4.298274576784387,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
2025-03,24,2027-03,upcoming_after_run_month,6,flat_compute,强放缓,0.73,False,1.0,1.0,1.0,58.0122388646695,42.00746800517076,88.17748761988486,46.1700196147141,False,38.71125027370519,89.17954446520368,50.46829419149849,4.298274576784387,False,False,month-cluster coefficient bootstrap + owner-cluster origin frontier bootstrap + iid resampling of centered five 1-month last-value errors,False,0,True,False
