dataset,source_domain,sample_id,q_operational,q_version
a1,arxiv,BkiUdvE4eIfiUWiFdbiw,0.398419340605331,Q1-q_huber-v1
a1,arxiv,BkiUdb44dbjiU9oEeWKt,0.523044636007898,Q1-q_huber-v1
a1,arxiv,BkiUd0E5qhDBdMC-Fcd6,0.627256725806108,Q1-q_huber-v1
a1,arxiv,BkiUdPA4dbgg3Wyis_JT,0.650120456757287,Q1-q_huber-v1
a1,arxiv,BkiUdILxK7FjYAb_67PT,0.597169795981587,Q1-q_huber-v1
a1,arxiv,BkiUfYzxK6-gD5TlfjZo,0.505228904957105,Q1-q_huber-v1
a1,arxiv,BkiUdZY5qrqCyq8KqH5a,0.57849933945605,Q1-q_huber-v1
a1,arxiv,BkiUcQrxK02iP15vfcUN,0.581960543362738,Q1-q_huber-v1
a1,arxiv,BkiUd-7xK7IAD7XMJnpB,0.534586738507867,Q1-q_huber-v1
a1,arxiv,BkiUdC84eIZjfagW4Wnr,0.509741543398119,Q1-q_huber-v1
a1,arxiv,BkiUbCM5jDKDx8o5qk9R,0.609679555354942,Q1-q_huber-v1
a1,arxiv,BkiUdafxaL3SuhsxKGrm,0.613503240752399,Q1-q_huber-v1
a1,arxiv,BkiUbg05ixsDMJPI2xCB,0.590449971169734,Q1-q_huber-v1
a1,arxiv,BkiUdEU5qsBC4wbX-bkK,0.504722693647592,Q1-q_huber-v1
a1,arxiv,BkiUbhg25V5hd-428xX-,0.593006235393696,Q1-q_huber-v1
a1,arxiv,BkiUdGM4dbgg4JMhnNMO,0.468545421341149,Q1-q_huber-v1
a1,arxiv,BkiUbfvxK6Ot9TMSpOC0,0.575826338316675,Q1-q_huber-v1
a1,arxiv,BkiUbQY5qX_AY1OJK5_l,0.582640754220746,Q1-q_huber-v1
a1,arxiv,BkiUd044eIXh4qTE56WZ,0.521575903352788,Q1-q_huber-v1
a1,arxiv,BkiUe5rxK03BfHDu5U-k,0.562377037375439,Q1-q_huber-v1
a1,arxiv,BkiUdMg4eIXhx5LdSlN-,0.38556273992941,Q1-q_huber-v1
a1,arxiv,BkiUdmU5qhLAB-QFvl37,0.48566191535402,Q1-q_huber-v1
a1,arxiv,BkiUc5XxK3YB9raXz91v,0.605436447702745,Q1-q_huber-v1
a1,arxiv,BkiUbtg4uzlgqIdPjLwn,0.441853660576049,Q1-q_huber-v1
a1,arxiv,BkiUb4bxaL3SuhzLnCaY,0.526035671449046,Q1-q_huber-v1
a1,arxiv,BkiUc_w25V5ih3AxzUJY,0.530557021133999,Q1-q_huber-v1
a1,arxiv,BkiUdKg4uBhhxJVAbSlB,0.636388439273668,Q1-q_huber-v1
a1,arxiv,BkiUfS45qhLBlnv5FwQt,0.546199226638416,Q1-q_huber-v1
a1,arxiv,BkiUdjg5qoTA-AMJsvsi,0.538412244884197,Q1-q_huber-v1
a1,arxiv,BkiUeAY5qsMAI5yh7a-M,0.570308467243075,Q1-q_huber-v1
a1,arxiv,BkiUdHjxaJJQnMJkXr4l,0.551452622403149,Q1-q_huber-v1
a1,arxiv,BkiUcNbxK6Ot9Pm3uYdF,0.520066156205919,Q1-q_huber-v1
a1,arxiv,BkiUdozxK6Ot9UjEBvcU,0.59377327522853,Q1-q_huber-v1
a1,arxiv,BkiUfd425V5jLX3kjIIW,0.557699202873524,Q1-q_huber-v1
a1,arxiv,BkiUc__xK7ICUyBu0Ytk,0.559051151077766,Q1-q_huber-v1
a1,arxiv,BkiUdODxK3YB9ohkMhwr,0.601287697307329,Q1-q_huber-v1
a1,arxiv,BkiUbdvxK7Ehm308o-UQ,0.577241798363927,Q1-q_huber-v1
a1,arxiv,BkiUc3U5qoYAq3Pz8uon,0.629173099438349,Q1-q_huber-v1
a1,arxiv,BkiUbGE5qdmB6uAdshyW,0.540925417197526,Q1-q_huber-v1
a1,arxiv,BkiUfo8241xiP6pGxj80,0.518179248721575,Q1-q_huber-v1
a1,arxiv,BkiUfK3xK4tBVhat52yo,0.635101960167558,Q1-q_huber-v1
a1,arxiv,BkiUdf_xK7FjYEXSFEcl,0.509660734752975,Q1-q_huber-v1
a1,arxiv,BkiUelHxK7IDF1DduRfs,0.618081991212199,Q1-q_huber-v1
a1,arxiv,BkiUaYzxK7ICUn2IXhit,0.583977717284816,Q1-q_huber-v1
