c1_normalized_row_sha256,c1_row_numbers,c2_row_numbers,c1_count,c2_count,one_to_one_full_row_match_with_numeric_tolerance,max_numeric_difference
80cd5b8fb59083ac7a4727560f2cd71f3472fcef0c40ba5885e6729121c8cdd8,[2],[2],1,1,True,1.7763568394002505e-15
f329a3820e2dcb4a21e6fdb98487d2b66c5547da6f7c631ea152e8e07bc9d172,[3],[3],1,1,True,1.7763568394002505e-15
b17ba7bbc21b34aed7fafff2d0200307c45794ba1bd82a65beeb77a5a1a26188,[4],[4],1,1,True,3.552713678800501e-15
250d9beda40552de9b1060486f4ab14228250a20576b9fe4409b49d6e079d61a,[5],[5],1,1,True,3.552713678800501e-15
a7d4ef6355eaa5a2aa26485cf56a13ab59d279fa974d80fbbd4a6efe51a005d7,[6],[6],1,1,True,7.105427357601002e-15
d79e7c7db928f7c8051c508a3b07b15d468c2935fb358883122f604b4d228bc4,[7],[7],1,1,True,1.7763568394002505e-15
396e53aeeee0a78b6f70ed0edb91a06941e613e6b4cd65f32376f6e3bf8938e7,[8],[8],1,1,True,7.105427357601002e-15
f51a4c17a1d10c07d146edc5ef5ae413f2817ee94cafed5a05b4166d329a199c,[9],[9],1,1,True,3.552713678800501e-15
a7948a9b9f04f82ccba92c9713c38d5cb6b2cdbf86462bcf37f793fc4d4b4069,[10],[10],1,1,True,3.552713678800501e-15
1645a9ce51a5959c3c598925fa88786cecb0ef19f6acda3d5626316be2a9ebf0,[11],[11],1,1,True,3.552713678800501e-15
c309cb7c360ead2deebe8e343e5abdd77e9148e4177bdb236a2dbbd46f5cfc73,[12],[12],1,1,True,3.552713678800501e-15
2c5e34c0619243eaf8dfcd2a3527f7a8be79d98a112caa20211d9d5d91c91d9a,[13],[13],1,1,True,0.0
3030cd1d37619bad48a4bf1420cc116fe767d3da63767a587917e63ec8fdbf3e,[14],[14],1,1,True,7.105427357601002e-15
717588f1743300b900cb6c72bda807c974128ff14b43f1774ac2873ba26eb506,[15],[15],1,1,True,0.0
c194a9494be4f9654ab763490faf36af0bf0508f322c5779f5264f267bf78c8c,[16],[16],1,1,True,0.0
7fdc3c365f7ebdab67ecab4b3de489c4ee076e8d6ef8bb2ade68fca8a129d11e,[17],[17],1,1,True,1.7763568394002505e-15
e7246445069353c0ca8971c037f80095c48dd55608def6fc9173d5324ea5f76e,[18],[18],1,1,True,0.0
5440524e580519bf8d6fb0a130deebdd031be4d1cadcc004006575156aa1624f,[19],[19],1,1,True,3.552713678800501e-15
9938d2c6f9def9017c592f5bcee871781cf2e070b543899f2459a2eaf18eab17,[20],[20],1,1,True,0.0
c8b9d3894b0e88833822b5a3f43da1ab4f4c77179c4df51b0f013a5e5e5ed893,[21],[21],1,1,True,0.0
e335a14b7ad9c5029dee7a9c5fa76af3e2768c2316552aafd9fe695e6347c464,[22],[22],1,1,True,7.105427357601002e-15
4d1bd318ff75a326f0e110df2d6739c5eb49fcb9702de5d59e934ed28630cd3c,[23],[23],1,1,True,7.105427357601002e-15
