dataset,source_domain,indicator_a,indicator_b,pair_n,mean_abs_gap,spearman_rho,a1_macro_rank
a1,arxiv,fineweb_edu,fluency_en,120,0.149111556039212,0.38694532659508624,188
a1,arxiv,fineweb_edu,modernbert_cleanliness,120,0.11631659266197074,4.1670356234545435e-05,193
a1,arxiv,fineweb_edu,modernbert_readability,120,0.12476694825766528,0.4162236305862204,194
a1,arxiv,fineweb_edu,modernbert_reasoning,120,0.14652397296169534,-0.24132154282463736,214
a1,arxiv,fineweb_edu,modernbert_professionalism,120,0.14657489228480552,-0.38840089577243664,208
a1,arxiv,fineweb_edu,dsir_books,120,0.8174102764736463,0.2729766526911922,24
a1,arxiv,fineweb_edu,dsir_wiki,120,0.8163161262269738,0.27651334516103254,23
a1,arxiv,fineweb_edu,dsir_math,120,0.8103392969835977,0.2544838877519425,25
a1,arxiv,fineweb_edu,qurater,120,0.12148280723646553,0.43822894705083654,219
a1,arxiv,fineweb_edu,ad_en,120,0.24988500106572273,-0.1784087772096899,166
a1,arxiv,fineweb_edu,rps_doc_word_count,120,0.7425419842255269,0.07235350291914443,77
a1,arxiv,fineweb_edu,rps_doc_num_sentences,120,0.7279738940740615,0.08087258635078796,73
a1,arxiv,fineweb_edu,rps_doc_unigram_entropy,120,0.1316303239683512,-0.14323565057223514,186
a1,arxiv,fineweb_edu,rps_doc_frac_unique_words,120,0.8007404556052791,0.06471329813974036,16
a1,arxiv,fineweb_edu,rps_doc_frac_no_alph_words,120,0.5395703924478723,0.3311988888423516,100
a1,arxiv,fineweb_edu,rps_doc_frac_chars_top_2gram,120,0.19137688507538572,-0.23852765000556875,147
a1,arxiv,fineweb_edu,rps_doc_frac_chars_top_3gram,120,0.22444748767133596,-0.0008785484852439787,150
a1,arxiv,fineweb_edu,rps_lines_uppercase_letter_fraction,120,0.3606257312098446,-0.08428856672856559,84
a1,arxiv,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,120,0.5405002733621804,0.060473999488236715,66
a1,arxiv,fineweb_edu,rps_lines_numerical_chars_fraction,120,0.49660731803696856,-0.06158867958216286,110
a1,arxiv,fineweb_edu,rps_doc_mean_word_length,120,0.27572355816941785,0.19648580608917013,168
a1,arxiv,fluency_en,modernbert_cleanliness,120,0.12864923251993396,0.2618064574392994,215
a1,arxiv,fluency_en,modernbert_readability,120,0.11193012711907403,0.2595367362529282,213
a1,arxiv,fluency_en,modernbert_reasoning,120,0.22592625767564417,0.10941120418067261,160
a1,arxiv,fluency_en,modernbert_professionalism,120,0.22144041430519998,0.032558009125146475,128
a1,arxiv,fluency_en,dsir_books,120,0.7352453402630481,0.016065641697530247,63
a1,arxiv,fluency_en,dsir_wiki,120,0.7341511900163756,0.01832313919390425,61
a1,arxiv,fluency_en,dsir_math,120,0.7281743607729995,0.017740782095449745,59
a1,arxiv,fluency_en,qurater,120,0.19756991758574724,0.5186865051867415,211
a1,arxiv,fluency_en,ad_en,120,0.18792190916579218,0.20344680304329857,184
a1,arxiv,fluency_en,rps_doc_word_count,120,0.6603770480149287,-0.019529235689734793,106
a1,arxiv,fluency_en,rps_doc_num_sentences,120,0.6458089578634633,0.08246375553632333,105
a1,arxiv,fluency_en,rps_doc_unigram_entropy,120,0.19186027582849913,-0.19508883537401375,146
a1,arxiv,fluency_en,rps_doc_frac_unique_words,120,0.7185755193946809,-0.13058841765941953,45
a1,arxiv,fluency_en,rps_doc_frac_no_alph_words,120,0.4705861751435813,0.0634839059174487,189
a1,arxiv,fluency_en,rps_doc_frac_chars_top_2gram,120,0.16605220323781233,-0.2421951638783664,123
a1,arxiv,fluency_en,rps_doc_frac_chars_top_3gram,120,0.17074724820580017,-0.1093380234997652,153
a1,arxiv,fluency_en,rps_lines_uppercase_letter_fraction,120,0.28829219915326393,0.028470875430322826,177
a1,arxiv,fluency_en,rps_lines_ending_with_terminal_punctution_mark,120,0.4745170402411331,-0.04453110214885473,161
a1,arxiv,fluency_en,rps_lines_numerical_chars_fraction,120,0.4302473586346926,0.03481162656287185,136
a1,arxiv,fluency_en,rps_doc_mean_word_length,120,0.2369153239780163,0.1975459973601214,191
a1,arxiv,modernbert_cleanliness,modernbert_readability,120,0.08009051141283627,0.1773945714888629,224
a1,arxiv,modernbert_cleanliness,modernbert_reasoning,120,0.11800487588569229,0.27267986063413824,212
a1,arxiv,modernbert_cleanliness,modernbert_professionalism,120,0.1131777429415935,0.40620183164614226,169
a1,arxiv,modernbert_cleanliness,dsir_books,120,0.8443125763846528,0.06367118571645863,31
a1,arxiv,modernbert_cleanliness,dsir_wiki,120,0.8432184261379805,0.06066336787103888,30
a1,arxiv,modernbert_cleanliness,dsir_math,120,0.8372415968946041,0.10059153507916582,26
a1,arxiv,modernbert_cleanliness,qurater,120,0.0936375455339429,0.20954723009657109,217
a1,arxiv,modernbert_cleanliness,ad_en,120,0.1943943791995063,0.3063081207610714,148
a1,arxiv,modernbert_cleanliness,rps_doc_word_count,120,0.7694442841365334,0.18620769881217525,62
a1,arxiv,modernbert_cleanliness,rps_doc_num_sentences,120,0.7548761939850681,0.2961566241791949,60
a1,arxiv,modernbert_cleanliness,rps_doc_unigram_entropy,120,0.09870854145300606,-0.2742957349135663,207
a1,arxiv,modernbert_cleanliness,rps_doc_frac_unique_words,120,0.8276427555162859,0.11393585430051749,21
a1,arxiv,modernbert_cleanliness,rps_doc_frac_no_alph_words,120,0.566472692358879,-0.07831112978539788,171
a1,arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_2gram,120,0.1350429863509334,-0.20838636083502626,175
a1,arxiv,modernbert_cleanliness,rps_doc_frac_chars_top_3gram,120,0.21229217385684343,-0.22223456878040437,178
a1,arxiv,modernbert_cleanliness,rps_lines_uppercase_letter_fraction,120,0.3726804275364891,0.043687137452558124,101
a1,arxiv,modernbert_cleanliness,rps_lines_ending_with_terminal_punctution_mark,120,0.567402573273187,-0.20299014339592958,179
a1,arxiv,modernbert_cleanliness,rps_lines_numerical_chars_fraction,120,0.5043994412551435,0.13690210587927065,122
a1,arxiv,modernbert_cleanliness,rps_doc_mean_word_length,120,0.28579602621723565,-0.10832021029290981,190
a1,arxiv,modernbert_readability,modernbert_reasoning,120,0.17794804081115448,-0.274272678252751,192
a1,arxiv,modernbert_readability,modernbert_professionalism,120,0.17435996763015557,-0.382421323642804,134
a1,arxiv,modernbert_readability,dsir_books,120,0.7835918095425568,0.31703396630835673,27
a1,arxiv,modernbert_readability,dsir_wiki,120,0.7824976592958843,0.32330224437732114,28
a1,arxiv,modernbert_readability,dsir_math,120,0.7765208300525082,0.2991481466011849,22
a1,arxiv,modernbert_readability,qurater,120,0.14628570015732978,0.24899950833520182,218
a1,arxiv,modernbert_readability,ad_en,120,0.20779283659298056,-0.23408691968641568,137
a1,arxiv,modernbert_readability,rps_doc_word_count,120,0.7087235172944373,0.04728106118480449,53
a1,arxiv,modernbert_readability,rps_doc_num_sentences,120,0.694238565687467,-0.041892307187881686,56
a1,arxiv,modernbert_readability,rps_doc_unigram_entropy,120,0.15264219158022438,-0.018265284154091118,209
a1,arxiv,modernbert_readability,rps_doc_frac_unique_words,120,0.7669219886741897,0.05825971022709047,17
a1,arxiv,modernbert_readability,rps_doc_frac_no_alph_words,120,0.5057519255167828,0.4255712202236266,187
a1,arxiv,modernbert_readability,rps_doc_frac_chars_top_2gram,120,0.13270798231025596,-0.028404750329884015,173
a1,arxiv,modernbert_readability,rps_doc_frac_chars_top_3gram,120,0.16802992230079022,0.015542746024029445,182
a1,arxiv,modernbert_readability,rps_lines_uppercase_letter_fraction,120,0.32590594976449544,-0.28294325994860753,116
a1,arxiv,modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,120,0.5072683255561768,0.19880547260226403,164
a1,arxiv,modernbert_readability,rps_lines_numerical_chars_fraction,120,0.4549844588727799,-0.08713799569414542,97
a1,arxiv,modernbert_readability,rps_doc_mean_word_length,120,0.26148332254192896,-0.05886519897215084,197
a1,arxiv,modernbert_reasoning,modernbert_professionalism,120,0.008894223683920916,0.7481440109592448,221
a1,arxiv,modernbert_reasoning,dsir_books,120,0.9611715979386922,-0.4364309286899614,7
a1,arxiv,modernbert_reasoning,dsir_wiki,120,0.9600774476920197,-0.43887492808120904,6
a1,arxiv,modernbert_reasoning,dsir_math,120,0.9541006184486437,-0.4063847374593934,8
a1,arxiv,modernbert_reasoning,qurater,120,0.043923568514557955,0.1849636589978032,216
a1,arxiv,modernbert_reasoning,ad_en,120,0.2843847740272203,0.3682665662098711,104
a1,arxiv,modernbert_reasoning,rps_doc_word_count,120,0.8863033056905728,-0.35463451371177435,41
a1,arxiv,modernbert_reasoning,rps_doc_num_sentences,120,0.8717352155391074,-0.20836455992105085,39
a1,arxiv,modernbert_reasoning,rps_doc_unigram_entropy,120,0.04068943339979409,0.1505095240997302,220
a1,arxiv,modernbert_reasoning,rps_doc_frac_unique_words,120,0.944501777070325,-0.40257698180551293,5
a1,arxiv,modernbert_reasoning,rps_doc_frac_no_alph_words,120,0.6833317139129184,-0.20785301112347312,75
a1,arxiv,modernbert_reasoning,rps_doc_frac_chars_top_2gram,120,0.2159039767766824,-0.011261116205320845,185
